"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ARG","Argentina","2013","2013",44.47217,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ARG","Argentina","2014","2014",41.99299,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ARG","Argentina","2015","2015",40.16207,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ARG","Argentina","2016","2016",36.94259,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ARG","Argentina","2018","2018",23.68118,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PER","Peru","2012","2012",75.87859,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PER","Peru","2014","2014",76.40043,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PER","Peru","2015","2015",75.8144,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PER","Peru","2016","2016",76.37433,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PER","Peru","2017","2017",75.18659,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","PER","Peru","2018","2018",74.69368,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","KWT","Kuwait","2010","2010",128746,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","KWT","Kuwait","2012","2012",117008,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","KWT","Kuwait","2013","2013",122729,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","KWT","Kuwait","2015","2015",131869,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","KWT","Kuwait","2017","2017",128053,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","KWT","Kuwait","2018","2018",129702,,
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","MDG","Madagascar","2012","2012",1578486,,
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","MDG","Madagascar","2018","2018",1752162,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","KHM","Cambodia","2014","2014",47.71474,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","KHM","Cambodia","2015","2015",46.58635,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","MLT","Malta","2011","2011",9377,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","MLT","Malta","2018","2018",7572,"‡","UIS Estimation"
"ILLPOP_AG65T99_M","Elderly illiterate population, 65+ years, male (number)","BGR","Bulgaria","2011","2011",7520,,
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","SUR","Suriname","2010","2010",8619,,
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","SUR","Suriname","2012","2012",9842,,
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","SUR","Suriname","2018","2018",8186,"‡","UIS Estimation"
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","MEX","Mexico","2010","2010",1262823,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","MEX","Mexico","2011","2011",1245966,"+","National Estimation"
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","MEX","Mexico","2012","2012",1149416,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","MEX","Mexico","2013","2013",1145966,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","MEX","Mexico","2014","2014",1122091,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","MEX","Mexico","2015","2015",1209049,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","MEX","Mexico","2016","2016",1147402,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","MEX","Mexico","2017","2017",1148875,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","MEX","Mexico","2018","2018",1131158,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","ESP","Spain","2010","2010",596671,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","ESP","Spain","2011","2011",586396,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","ESP","Spain","2012","2012",558287,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","ESP","Spain","2013","2013",523437,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","ESP","Spain","2014","2014",516555,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","ESP","Spain","2015","2015",505203,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","ESP","Spain","2016","2016",473153,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","ESP","Spain","2018","2018",433822,,
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","KAZ","Kazakhstan","2010","2010",61.16221,"‡","UIS Estimation"
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","KAZ","Kazakhstan","2018","2018",61.24194,"‡","UIS Estimation"
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","MOZ","Mozambique","2015","2015",1572889,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","MOZ","Mozambique","2017","2017",1659336,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","SSD","South Sudan","2018","2018",1156721,"‡","UIS Estimation"
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","BWA","Botswana","2013","2013",176911,"‡","UIS Estimation"
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","HRV","Croatia","2011","2011",22349,,
"ILLPOP_AG65T99_M","Elderly illiterate population, 65+ years, male (number)","SDN","Sudan","2018","2018",395625,"‡","UIS Estimation"
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","MUS","Mauritius","2011","2011",74.28421,,
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","MUS","Mauritius","2018","2018",87.60486,"+","National Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","MWI","Malawi","2010","2010",380280,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","MWI","Malawi","2014","2014",352323,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","MWI","Malawi","2015","2015",471139,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","MTQ","Martinique","2014","2014",27,"‡","UIS Estimation"
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","PRY","Paraguay","2010","2010",60.9748,,
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","PRY","Paraguay","2012","2012",58.23821,,
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","PRY","Paraguay","2013","2013",59.63361,,
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","PRY","Paraguay","2014","2014",60.16382,,
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","PRY","Paraguay","2015","2015",62.61152,,
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","PRY","Paraguay","2016","2016",60.85167,,
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","PRY","Paraguay","2018","2018",58.83159,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","MDA","Republic of Moldova","2012","2012",1397,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","MDA","Republic of Moldova","2014","2014",553,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","SWZ","Eswatini","2010","2010",44.30099,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","SWZ","Eswatini","2018","2018",35.64941,"‡","UIS Estimation"
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","SLV","El Salvador","2010","2010",48502,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","SLV","El Salvador","2011","2011",42815,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","SLV","El Salvador","2013","2013",35533,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","SLV","El Salvador","2015","2015",26578,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","SLV","El Salvador","2016","2016",25856,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","SLV","El Salvador","2017","2017",25971,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","SLV","El Salvador","2018","2018",25663,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","RWA","Rwanda","2010","2010",49.05456,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","RWA","Rwanda","2012","2012",47.11807,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","RWA","Rwanda","2014","2014",46.43329,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","RWA","Rwanda","2018","2018",42.73911,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","GRC","Greece","2011","2011",13903,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","GRC","Greece","2018","2018",8834,"‡","UIS Estimation"
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","VEN","Venezuela (Bolivarian Republic of)","2011","2011",551704,,
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","VEN","Venezuela (Bolivarian Republic of)","2015","2015",354589,,
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","VEN","Venezuela (Bolivarian Republic of)","2016","2016",311019,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","NGA","Nigeria","2018","2018",25859658,"‡","UIS Estimation"
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","TTO","Trinidad and Tobago","2010","2010",13546,"‡","UIS Estimation"
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","GUY","Guyana","2014","2014",5184,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","IND","India","2011","2011",12408827,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","IND","India","2018","2018",9138430,"‡","UIS Estimation"
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","ABW","Aruba","2010","2010",107,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","ABW","Aruba","2018","2018",76,"‡","UIS Estimation"
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","BTN","Bhutan","2012","2012",51.28081,,
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","BTN","Bhutan","2017","2017",53.68995,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2010","2010",42.00313,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2011","2011",44.99142,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2012","2012",46.57222,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2013","2013",48.20553,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2014","2014",44.25931,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2015","2015",61.30149,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2016","2016",44.94227,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ECU","Ecuador","2017","2017",39.32738,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","CPV","Cabo Verde","2012","2012",2081,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","CPV","Cabo Verde","2015","2015",1935,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","GIN","Guinea","2010","2010",55.84443,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","GIN","Guinea","2014","2014",59.17716,,
"ILLPOP_AG65T99_M","Elderly illiterate population, 65+ years, male (number)","GNQ","Equatorial Guinea","2010","2010",1736,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","TUR","Turkey","2010","2010",173802,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","TUR","Turkey","2011","2011",128323,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","TUR","Turkey","2012","2012",99242,"+","National Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","TUR","Turkey","2013","2013",79235,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","TUR","Turkey","2014","2014",66636,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","TUR","Turkey","2015","2015",53368,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","TUR","Turkey","2016","2016",40634,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","TUR","Turkey","2017","2017",27000,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BHR","Bahrain","2010","2010",4582,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BHR","Bahrain","2016","2016",48,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BHR","Bahrain","2017","2017",11,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BHR","Bahrain","2018","2018",26,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","LKA","Sri Lanka","2010","2010",257590,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","LKA","Sri Lanka","2016","2016",278993,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","LKA","Sri Lanka","2017","2017",301644,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","LKA","Sri Lanka","2018","2018",327358,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","MDV","Maldives","2014","2014",1269,,
"ILLPOP_AG65T99","Elderly illiterate population, 65+ years, both sexes (number)","MDV","Maldives","2016","2016",1798,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","PAN","Panama","2010","2010",14900,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","PAN","Panama","2018","2018",6251,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","EST","Estonia","2011","2011",552,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","HUN","Hungary","2014","2014",5691,"‡","UIS Estimation"
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","PRT","Portugal","2011","2011",73.00142,,
"ILLPOPF_AG65T99","Elderly illiterate population, 65+ years, % female","PRT","Portugal","2018","2018",74.0015,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","OMN","Oman","2010","2010",51.79217,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","OMN","Oman","2014","2014",50.47021,"+","National Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","OMN","Oman","2015","2015",64.85367,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","OMN","Oman","2016","2016",53.90438,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","OMN","Oman","2017","2017",52.82958,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","OMN","Oman","2018","2018",50.78512,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","LBR","Liberia","2017","2017",1422645,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","NCL","New Caledonia","2014","2014",44.21593,"‡","UIS Estimation"
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BRA","Brazil","2010","2010",7022469,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BRA","Brazil","2011","2011",6408326,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BRA","Brazil","2012","2012",6516464,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BRA","Brazil","2013","2013",6506640,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BRA","Brazil","2014","2014",6367505,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BRA","Brazil","2015","2015",6229749,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BRA","Brazil","2016","2016",5754842,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BRA","Brazil","2017","2017",5644716,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BRA","Brazil","2018","2018",5562972,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","TUN","Tunisia","2010","2010",55996,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","TUN","Tunisia","2011","2011",52046,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","TUN","Tunisia","2012","2012",58522,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","TUN","Tunisia","2014","2014",67069,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","RUS","Russian Federation","2010","2010",60.80307,,
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","RUS","Russian Federation","2018","2018",53.9216,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","KEN","Kenya","2014","2014",62.36694,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","KEN","Kenya","2018","2018",59.99677,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","ATG","Antigua and Barbuda","2011","2011",28.95126,"‡","UIS Estimation"
"ILLPOPF_AG15T99","Adult illiterate population, 15+ years, % female","ATG","Antigua and Barbuda","2015","2015",28.69427,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","DZA","Algeria","2018","2018",156217,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","GAB","Gabon","2012","2012",18326,"‡","UIS Estimation"
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","GAB","Gabon","2018","2018",15578,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","ARE","United Arab Emirates","2015","2015",62.22906,"‡","UIS Estimation"
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","BFA","Burkina Faso","2014","2014",2589179,,
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","BFA","Burkina Faso","2018","2018",2665425,"‡","UIS Estimation"
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BDI","Burundi","2014","2014",149724,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","BDI","Burundi","2017","2017",94711,,
"ILLPOP_AG65T99_M","Elderly illiterate population, 65+ years, male (number)","JOR","Jordan","2010","2010",31542,,
"ILLPOP_AG65T99_M","Elderly illiterate population, 65+ years, male (number)","JOR","Jordan","2011","2011",32195,,
"ILLPOP_AG65T99_M","Elderly illiterate population, 65+ years, male (number)","JOR","Jordan","2012","2012",6373,,
"ILLPOP_AG65T99_M","Elderly illiterate population, 65+ years, male (number)","JOR","Jordan","2018","2018",6372,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","PAK","Pakistan","2010","2010",63.52229,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","PAK","Pakistan","2011","2011",61.36069,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","PAK","Pakistan","2012","2012",63.00886,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","PAK","Pakistan","2013","2013",62.62852,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","PAK","Pakistan","2014","2014",61.60632,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","PAK","Pakistan","2017","2017",61.82849,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","ARM","Armenia","2011","2011",322,,
"ILLPOP_AG15T24_F","Youth illiterate population, 15-24 years, female (number)","ARM","Armenia","2017","2017",233,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","GTM","Guatemala","2012","2012",73886,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","GTM","Guatemala","2013","2013",97268,,
"ILLPOP_AG15T24_M","Youth illiterate population, 15-24 years, male (number)","GTM","Guatemala","2014","2014",77412,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BEN","Benin","2012","2012",2181215,"‡","UIS Estimation"
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","BEN","Benin","2018","2018",2310251,"‡","UIS Estimation"
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","NAM","Namibia","2011","2011",23678,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","NAM","Namibia","2018","2018",4779,"‡","UIS Estimation"
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","ZWE","Zimbabwe","2011","2011",1231458,"‡","UIS Estimation"
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","ZWE","Zimbabwe","2014","2014",884232,"‡","UIS Estimation"
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","KGZ","Kyrgyzstan","2018","2018",2599,"‡","UIS Estimation"
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","EGY","Egypt","2010","2010",15683113,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","EGY","Egypt","2012","2012",15278789,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","EGY","Egypt","2013","2013",14871361,,
"ILLPOP_AG15T99","Adult illiterate population, 15+ years, both sexes (number)","EGY","Egypt","2017","2017",18518979,,
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","CAF","Central African Republic","2010","2010",591721,"‡","UIS Estimation"
"ILLPOP_AG15T99_M","Adult illiterate population, 15+ years, male (number)","CAF","Central African Republic","2018","2018",642926,"‡","UIS Estimation"
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","MAC","China, Macao Special Administrative Region","2011","2011",314,,
"ILLPOP_AG15T24","Youth illiterate population, 15-24 years, both sexes (number)","MAC","China, Macao Special Administrative Region","2016","2016",152,,
"ILLPOP_AG65T99_M","Elderly illiterate population, 65+ years, male (number)","CIV","Côte d'Ivoire","2012","2012",205119,"‡","UIS Estimation"
"ILLPOP_AG65T99_M","Elderly illiterate population, 65+ years, male (number)","CIV","Côte d'Ivoire","2014","2014",250260,,
"ILLPOP_AG65T99_M","Elderly illiterate population, 65+ years, male (number)","CIV","Côte d'Ivoire","2018","2018",261729,"‡","UIS Estimation"
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","ALB","Albania","2011","2011",34184,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","ALB","Albania","2012","2012",27451,,
"ILLPOP_AG65T99_F","Elderly illiterate population, 65+ years, female (number)","ALB","Albania","2018","2018",16828,"‡","UIS Estimation"
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","TON","Tonga","2011","2011",42.65638,,
"ILLPOPF_AG15T24","Youth illiterate population, 15-24 years, % female","TON","Tonga","2018","2018",39.82096,"‡","UIS Estimation"
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","SRB","Serbia","2011","2011",124489,,
"ILLPOP_AG15T99_F","Adult illiterate population, 15+ years, female (number)","SRB","Serbia","2016","2016",67877,,
